"product_url";"price";"location";"description";"title"
"";"";"&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;";"&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;";"&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;"
"";"";"&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;";"&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;";"&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;"
"";"";"&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;";"&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;";"&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;"
"/p/single-room-flatshare/lovely-room-facing-the-garden-in-n17-all-bills-included-/1142558822";"125pw";"Seven Sisters, London";"A lovely room facing the garden in a quiet residential area. We are a friendly and quiet married couple renting out one room in our 2 bedroom flat, to a happy, friendly and outgoing person. You will be sharing a kitchen and bathroom with us and even";"LOVELY ROOM FACING THE GARDEN IN N17, ALL BILLS INCLUDED"
"/p/single-room-flatshare/looking-for-large-room-with-great-london-views-deptford-room-available-now-/1146424897";"128pw";"South East London, London";"Large COSY Bedroom Available NOW in Zone 2.
Price: 128 PW Single, 145 PW Double
400 deposit required and will be refunded once leaving the room.
All bills included
Min 3-months stay
ALL the amenities provided:
Comfortable bed;
W";"LOOKING FOR LARGE ROOM with Great LONDON Views?? DEPTFORD ROOM AVAILABLE NOW!"
"/p/single-room-flatshare/28th-december-single-room-in-south-quays-only-135pw-bills-wifi-included-/1146562790";"135pw";"Isle of Dogs, London";"6 Bedroom House
Bathroom & Toilet
Shower & Toilet
Large Kitchen
Garden
IF YOU ARE UNABLE TO ATTEND A VIEWING OR YOU ARE NOT IN LONDON THEN BOOK THIS ROOM WITH THE 300 RESERVATION DEPOSIT!
Admin fee - 197 ( One off payment )
4 weeks d";"28th December !!!! Single Room in SOUTH QUAYS ONLY 135PW BILLS + WIFI INCLUDED !!"
"/p/single-room-flatshare/single-room-to-let-house-share/1146064701";"650pm";"Kilburn, London";"All bills included , brand new refurbished house, shared by three young professionals.
Looking for a responsible, tidy and clean house mate.
5 min from Kilburn Tube Station ( Jubilee) and Brondesbury Overground Train Station
Lots of shops and pu";"Single Room to let / House Share"
"/p/single-room-flatshare/large-bright-room-with-garden-available-now-92-p-week.-deptford-bridge-dlr-station-4-minutes-walk./1146426270";"92pw";"Greenwich, London";"Hi there,
this lovely single room features a single bed, large wardrobe, WiFi connection, laminated floor.
Kitchen and Bathroom to be shared.
Price: 92 per week
Deposit 400
Min 3-months stay
DEPTFORD High Street is a great area with";"Large Bright Room with GARDEN Available Now 92 p/week. Deptford Bridge DLR station 4 minutes walk."
"/p/single-room-flatshare/1-bedroom-to-rent/1147078594";"100pw";"Heathrow, London";"I got single room to rent for 100 per week 2 week deposit apply please call Piotr for more info 07534939897";"1 bedroom to rent"
"/p/single-room-flatshare/nice-double-room-with-all-bills-included-perfer-for-one-person-close-to-tube-available-soon./1147077794";"145pw";"Whitechapel, London";"Stepney Green, London, E1 3JJ.
Spacious 3 Bedroom Flat
Close to Transport & Amenities
Fully Fitted Modern Kitchen all Mod Cons
Tiled Three Piece Bathroom Suite
Available on 23rd of Dec.
This lovely flat comes fully furnished and in ve";"Nice double room with all bills included perfer for one person, close to tube, available soon."
"/p/single-room-flatshare/femaie-london-house-flat-share-double-sized-room-at-single-room-price-mint-pie/1147076721";"132pw";"Greenwich, London";"NOTE: PLEASE FULLY READ MY ADVERTISEMENT, BEFORE CALLING ME
Address  Inverine road, Charlton, London SE7 7NL
This Big House Has 2 Toilets, 1 Shower, 1 Bath and 1 Kitchen
Master Double Size Room for 1 Female Tenant 132 rent + 10 Bills per week";"FemaIe London House Flat Share, Double Sized Room at Single Room Price --- mint pie"
"/p/single-room-flatshare/femaie-london-house-flat-share-half-ensuite-double-sized-room-at-single-room-price-mint-pie/1147076404";"120pw";"Greenwich, London";"NOTE: PLEASE FULLY READ MY ADVERTISE, BEFORE CALL ME
Address - Fairfield Grove, London, SE7 8UJ
Big Double size Room Available for 1 Female
120 rent + aournd 6 shared bill a week
This Double Room Have a Washing Sink Build In Inside Your Own Roo";"FemaIe London House Flat Share, Half Ensuite Double Sized Room at Single Room Price --- mint pie"
"/p/single-room-flatshare/nice-single-room/1147075953";"130pw";"Putney, London";"ALL BILL INCLUSIVE ) ~~~~
it is available NOW
---The post code is SW15 3AH
3 weeks deposit + 2 weeks advanced rent
---The house is located in PUTNEY
---The rent includes all bills, including council tax, gas, internet, electricity, TV licenc";"Nice single room"
"/p/single-room-flatshare/available-23-rd-december-short-term-only-2-4-weeks-stay-extra-large-single/1147075274";"90pw";"Redbridge, London";"AVAILABLE ON WEDNESDAY
EXTRA LARGE SINGLE ROOM
SHORT STAY ONLY
2-4 WEEKS
good for a student
who is on a short language course
or work experience
quiet / clean modern /friendly apartment
all bills included
internet / intercom
5 minutes wal";"AVAILABLE 23 rd December / short term only / 2-4 weeks stay EXTRA LARGE SINGLE"
"/p/single-room-flatshare/single-room-5-minutes-walking-from-bethnal-green-station-/1147074756";"90pw";"Whitechapel, London";"Single Room 90 per week, all bilsl are included.
If you are a full time worker, clean and organised person, I will be happy to show you the room.
NO DRINKER,NO DSS.
NO MARIJUANA SMOKER
NO LOUD MUSIC
3 Weeks Deposit required
1 week";"SINGLE ROOM 5 MINUTES WALKING FROM BETHNAL GREEN STATION !"
"/p/single-room-flatshare/single-room-/1147074299";"105pw";"Kingsbury, London";"Single room located n kingsbury area carpet flooring central heating fast internet bills included please call 0753003886 yamen";"Single room"
"/p/single-room-flatshare/looking-for-female-to-share-property/1147074155";"150pw";"Tower Hamlets, London";"Hi,
I am looking for a female to rent out a room very spacious. 150pw including utilities.
Closest station is Bethnal Green station. Also there is local buses and shops.
Deposit will be required.
Please email me if you are interested";"Looking for female to share property"
"/p/single-room-flatshare/double-room-in-archway-for-1-person/1147073531";"650pm";"Holloway, London";"Hi guys i am moving from my flat so I need someone to take my place in a brand new flat in archway. The price is 650 with all bills included (council tax, internet, tv, gas, electricity) for a cosy double room on the ground floor. I need to find some";"Double room in archway for 1 person"
"/p/single-room-flatshare/single-studio-ensuite-with-small-kitchenette-all-bills-included-nw6/1146856345";"180pw";"Kilburn, London";"Nice single studio in willesden LAN all bills included , no agency fee , the room is ensuite with nice small kitchenette . easy by transportation bus 98 in front of the door of the house next to tesco express";"Single studio ensuite with small kitchenette , all bills included nw6"
"/p/single-room-flatshare/single-room-all-bills-included-with-wifi-sharing-kitchen-and-sharing-bathroom-/1146952342";"180pw";"Kilburn, London";"Single room all bills included with wifi , sharing kitchen and sharing bathroom , the room got TV LCD , the rooms all of it got access to the garden , the house is brand new , is luxuries house , cleaner is coming once a week . the house in heart of";"single room all bills included with wifi , sharing kitchen and sharing bathroom"
"/p/single-room-flatshare/a-very-single-room-available-to-let-in-a-3-bedroom-house/1145462363";"400pm";"Stratford, London";"Avery single room available to let in a very clean 3 bedroom house.
This room is fully furnished with everything including Sky TV, Wireless Internet Connection a dinning area and a seated Garden.
The house is 5 mins walk to Stratford City Centr";"A Very Single Room Available to let in a 3 Bedroom House"
"/p/single-room-flatshare/great-location-decent-and-bright-room-with-brand-new-carpet-indian-family-flat-no-bills-to-pay/1147069088";"110pw";"Manor Park, London";"Room: A Bright Spacious Fully Furnished Room Which is Newly Carpeted With Built In Wardrobe And Neutral Decor Is Available For Indian Single Person. This is actually a double room but offering it to single person....
A Clean Home With Spacious Fu";"Great Location- Decent and bright room with brand new carpet, Indian family flat, No bills to pay"
"/p/single-room-flatshare/single-room-to-let-in-a-shared-flat-near-bethnal-green-tube-330-pm-including-bangladeshi-prefer/1147066499";"330pm";"Hackney, London";"A well furnished single room to let in a shared flat. Only 5 minute walk from Bethnal Green Underground Station, located at Old Bethnal Green Road. The flat has 2 double bedroom and one single room(no separate living space). The single room will be l";"Single Room to let in a Shared Flat near Bethnal Green Tube , 330 pm including, Bangladeshi Prefer"
"/p/single-room-flatshare/stunning-rooms-near-liverpool-street-and-canary-wharf-/1147065713";"100pw";"Poplar, London";"3 rooms available in Bethnal Green,2 in Liverpool Street,1 in Shoreditch and 2 in East India
Singles, large singles and doubles from 100 to 160
Great links everywhere in London!!
Parks, Shops,Clubs and lovely flatmates !
Call or inbox Felix";"Stunning rooms near Liverpool Street and Canary Wharf"
"/p/single-room-flatshare/stunning-rooms-near-liverpool-street-/1147065449";"100pw";"Poplar, London";"Rooms available in Bethnal Green,Liverpool Street,Shoreditch and East India
Singles, large singles and doubles from 100 to 160
Great links everywhere in London!!
Parks, Shops,Clubs and lovely flatmates !
Call or inbox Felix on 07447167479";"Stunning rooms near Liverpool street"
"/p/single-room-flatshare/amazing-3-rooms-in-the-same-house-in-bethnal-green-near-liverpool-street-and-stratford/1147065299";"100pw";"Poplar, London";"3 rooms available on the same house in Bethnal Green,Liverpool Street,Shoreditch and East India
Singles, large singles and doubles from 100 to 160
Great links everywhere in London!!
Parks, Shops,Clubs and lovely flatmates !
Call or inbox Fel";"Amazing 3 rooms in the same house in Bethnal Green near Liverpool Street and Stratford"
"/p/single-room-flatshare/large-room-with-double-bed-for-single-person/1147064699";"105pw";"Leytonstone, London";"double room to rent for single person.
Fully furnished with double wardrobe, extra inbuild shelfs, chest of drawer and a laptop table with chair and new mattress.
Tesco,Morrisons,asda,KFC,Poundstretchers are 3 mins away from property.
Halif";"Large room with double bed for single person"
"/p/single-room-flatshare/large-spacious-room-in-house-sutton-belmont/1147064633";"435pm";"Sutton, London";"LARGE SPACIOUS ROOM FOR SINGLE PERSON ROOM SIZE EQUIVALENT TO DOUBLE
HOUSE, DG, GCH,
CLOSE TO LOCAL AMENITIES
